'sample #','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
442,-1558,10373,-2354,-2212,5139,-3975,5933,-339,-7223,-6003,5028,56,1106,2522,-4725,1028,-3007,7203,804,-8383,-20275,0
443,-1824,10200,-2737,-2700,4322,-4262,6373,-255,-6688,-5910,5570,1045,2644,3729,-2701,3295,-3473,7229,2412,-8118,-20151,0
444,-2332,9706,-3288,-3462,3242,-4733,6737,-460,-6318,-5948,5984,1738,4201,4741,-709,5474,-4208,7084,3780,-8120,-20042,0
445,-3082,8848,-3972,-4499,2011,-5413,7043,-957,-6133,-6152,6285,2099,5691,5556,1227,7539,-5211,6750,4880,-8353,-19953,0
446,-4022,7655,-4723,-5761,792,-6292,7325,-1700,-6108,-6525,6520,2122,7047,6197,3095,9454,-6432,6253,5744,-8764,-19883,0
447,-5055,6232,-5455,-7148,-235,-7317,7600,-2628,-6187,-7042,6751,1821,8226,6701,4888,11195,-7770,5652,6444,-9285,-19826,0
448,-6060,4729,-6080,-8526,-923,-8406,7853,-3652,-6307,-7654,7028,1237,9198,7105,6592,12738,-9093,5030,7063,-9844,-19772,0
449,-6921,3314,-6526,-9759,-1189,-9463,8024,-4686,-6411,-8301,7374,431,9936,7432,8176,14067,-10265,4470,7661,-10374,-19714,0
450,-7556,2124,-6751,-10735,-1031,-10410,8026,-5654,-6467,-8922,7767,-525,10410,7688,9588,15167,-11177,4040,8254,-10823,-19648,0
451,-7923,1249,-6747,-11391,-526,-11191,7770,-6501,-6463,-9465,8152,-1558,10589,7860,10769,16026,-11769,3782,8819,-11156,-19576,0
452,-8031,713,-6541,-11720,197,-11776,7201,-7195,-6408,-9889,8446,-2599,10458,7933,11662,16642,-12037,3709,9306,-11355,-19505,0
453,-7918,493,-6180,-11757,985,-12144,6318,-7723,-6314,-10158,8565,-3585,10027,7909,12236,17021,-12019,3814,9669,-11420,-19448,0
454,-7637,541,-5727,-11555,1694,-12270,5183,-8076,-6187,-10240,8446,-4465,9348,7807,12491,17179,-11773,4088,9884,-11355,-19415,0
455,-7235,810,-5237,-11160,2214,-12122,3907,-8242,-6018,-10098,8063,-5191,8518,7668,12462,17138,-11346,4520,9968,-11172,-19417,0
456,-6742,1272,-4754,-10591,2485,-11664,2629,-8207,-5782,-9695,7435,-5731,7647,7552,12203,16918,-10759,5108,9966,-10895,-19458,0
457,-6170,1916,-4304,-9840,2502,-10888,1491,-7954,-5436,-9001,6625,-6068,6857,7509,11779,16530,-10008,5855,9943,-10561,-19538,0
458,-5523,2738,-3890,-8891,2311,-9831,618,-7477,-4931,-8010,5734,-6213,6242,7566,11240,15966,-9077,6765,9958,-10234,-19653,0
459,-4804,3719,-3503,-7740,2003,-8589,100,-6795,-4219,-6748,4881,-6212,5862,7711,10623,15208,-7957,7831,10053,-10000,-19793,0
460,-4031,4810,-3123,-6417,1690,-7304,-11,-5959,-3273,-5283,4190,-6141,5728,7897,9940,14225,-6676,9036,10241,-9960,-19948,0
461,-3234,5931,-2730,-4994,1491,-6131,288,-5053,-2094,-3719,3767,-6096,5808,8038,9190,12990,-5295,10344,10509,-10207,-20107,0
462,-2451,6985,-2307,-3571,1500,-5197,953,-4185,-722,-2194,3677,-6181,6041,8038,8364,11487,-3909,11698,10820,-10799,-20261,0
463,-1718,7885,-1841,-2259,1775,-4563,1894,-3464,767,-846,3932,-6476,6343,7809,7447,9727,-2620,13027,11124,-11736,-20403,0
464,-1055,8577,-1324,-1147,2326,-4203,2983,-2982,2273,201,4481,-7025,6632,7290,6426,7745,-1513,14251,11365,-12948,-20524,0
465,-458,9062,-751,-283,3117,-4017,4074,-2792,3690,866,5224,-7820,6822,6460,5287,5600,-634,15297,11492,-14305,-20617,0
466,99,9393,-120,338,4088,-3865,5030,-2888,4936,1126,6032,-8800,6855,5347,4023,3366,17,16115,11467,-15645,-20674,0
467,665,9666,573,769,5163,-3608,5756,-3216,5971,1030,6777,-9867,6699,4023,2637,1122,483,16700,11272,-16810,-20691,0
468,1287,9986,1327,1090,6273,-3149,6216,-3666,6804,683,7363,-10901,6361,2593,1145,-1059,836,17090,10922,-17683,-20668,0
469,2006,10445,2134,1392,7362,-2451,6443,-4110,7487,232,7744,-11785,5886,1177,-419,-3121,1157,17367,10453,-18218,-20610,0
470,2833,11094,2974,1750,8387,-1547,6524,-4419,8090,-165,7930,-12428,5342,-113,-2010,-5033,1517,17628,9921,-18435,-20531,0
471,3747,11932,3816,2212,9315,-518,6571,-4497,8671,-378,7965,-12777,4809,-1196,-3580,-6787,1965,17951,9374,-18413,-20447,0
472,4688,12898,4607,2788,10119,520,6685,-4298,9252,-328,7910,-12829,4352,-2038,-5086,-8396,2515,18365,8837,-18264,-20376,0
473,5563,13882,5280,3443,10764,1436,6925,-3842,9802,-5,7816,-12626,4002,-2659,-6499,-9885,3140,18831,8297,-18105,-20330,0
474,6253,14738,5761,4099,11220,2099,7288,-3210,10247,521,7709,-12252,3751,-3127,-7811,-11277,3770,19242,7700,-18037,-20317,0
475,6639,15306,5981,4646,11460,2387,7719,-2532,10487,1132,7588,-11812,3550,-3542,-9020,-12585,4297,19451,6966,-18131,-20337,0
476,6613,15437,5885,4944,11468,2205,8126,-1957,10425,1663,7434,-11414,3327,-4012,-10134,-13803,4585,19304,6016,-18424,-20387,0
477,6107,15023,5447,4858,11251,1495,8410,-1628,9994,1952,7221,-11149,3001,-4624,-11151,-14906,4498,18682,4797,-18916,-20462,0
478,5108,14024,4674,4285,10837,257,8492,-1648,9171,1858,6928,-11068,2507,-5424,-12061,-15851,3922,17527,3310,-19566,-20559,0
479,3667,12485,3612,3176,10277,-1444,8331,-2060,7982,1296,6548,-11170,1808,-6402,-12847,-16588,2806,15853,1612,-20298,-20677,0
480,1894,10540,2339,1569,9638,-3476,7927,-2832,6496,255,6083,-11405,900,-7494,-13485,-17063,1180,13745,-186,-21003,-20814,0
481,-50,8398,946,-416,8987,-5652,7310,-3868,4807,-1198,5545,-11680,-182,-8590,-13954,-17229,-836,11341,-1944,-21557,-20967,0
482,-1988,6308,-469,-2585,8375,-7756,6525,-5019,3025,-2923,4951,-11886,-1371,-9557,-14234,-17052,-3051,8811,-3520,-21835,-21125,0
483,-3746,4516,-1820,-4708,7829,-9576,5618,-6115,1261,-4725,4320,-11919,-2577,-10261,-14312,-16506,-5233,6333,-4792,-21740,-21274,0
484,-5188,3217,-3038,-6563,7339,-10938,4632,-6997,-379,-6389,3679,-11702,-3699,-10589,-14170,-15583,-7157,4074,-5676,-21220,-21397,0
485,-6234,2516,-4086,-7979,6870,-11729,3605,-7539,-1814,-7716,3060,-11193,-4636,-10471,-13785,-14288,-8647,2171,-6129,-20278,-21481,0
486,-6872,2413,-4955,-8871,6370,-11920,2576,-7671,-2989,-8559,2500,-10389,-5305,-9882,-13131,-12638,-9614,714,-6149,-18968,-21520,0
487,-7155,2801,-5661,-9256,5792,-11563,1581,-7382,-3889,-8847,2031,-9317,-5652,-8846,-12179,-10665,-10066,-264,-5765,-17380,-21516,0
488,-7190,3493,-6245,-9241,5101,-10791,656,-6719,-4542,-8596,1674,-8016,-5660,-7419,-10914,-8408,-10103,-790,-5025,-15623,-21477,0
489,-7123,4258,-6759,-9001,4289,-9794,-174,-5770,-5012,-7899,1432,-6537,-5350,-5680,-9342,-5916,-9895,-952,-3984,-13803,-21411,0
490,-7105,4858,-7260,-8738,3372,-8799,-902,-4651,-5383,-6906,1282,-4928,-4775,-3716,-7502,-3241,-9637,-879,-2703,-12010,-21324,0
491,-7276,5098,-7797,-8643,2394,-8027,-1541,-3486,-5735,-5789,1189,-3235,-4008,-1612,-5465,-440,-9519,-713,-1240,-10314,-21213,0
492,-7730,4848,-8395,-8855,1407,-7671,-2114,-2385,-6126,-4713,1114,-1506,-3128,554,-3325,2431,-9683,-580,345,-8768,-21075,0
493,-8502,4065,-9054,-9446,478,-7853,-2646,-1437,-6568,-3812,1028,206,-2207,2708,-1184,5309,-10208,-557,1998,-7410,-20909,0
494,-9557,2798,-9741,-10402,-323,-8616,-3145,-699,-7037,-3171,928,1845,-1301,4782,868,8139,-11090,-659,3663,-6275,-20725,0
495,-10796,1180,-10394,-11639,-936,-9905,-3601,-197,-7477,-2825,835,3346,-445,6707,2766,10856,-12258,-838,5286,-5395,-20547,0
496,-12070,-597,-10941,-13019,-1317,-11586,-3987,62,-7824,-2765,791,4631,344,8413,4476,13399,-13582,-1012,6813,-4795,-20404,0
497,-13217,-2317,-11316,-14377,-1458,-13466,-4278,81,-8036,-2953,836,5613,1056,9828,5989,15701,-14906,-1093,8186,-4495,-20326,0
498,-14089,-3768,-11473,-15555,-1396,-15325,-4467,-138,-8106,-3337,989,6200,1685,10877,7306,17693,-16077,-1029,9344,-4500,-20336,0
499,-14582,-4789,-11402,-16427,-1211,-16953,-4581,-607,-8067,-3871,1232,6298,2211,11492,8420,19298,-16967,-833,10223,-4800,-20439,0
500,-14654,-5282,-11125,-16916,-1009,-18182,-4661,-1341,-7984,-4512,1506,5841,2605,11616,9309,20441,-17493,-570,10764,-5360,-20623,12587
501,-14324,-5227,-10693,-17000,-889,-18904,-4760,-2343,-7934,-5226,1726,4814,2827,11221,9929,21057,-17625,-344,10919,-6128,-20867,12587
502,-13651,-4670,-10164,-16704,-911,-19080,-4915,-3588,-7974,-5981,1799,3255,2839,10314,10228,21103,-17382,-260,10673,-7034,-21147,12587
503,-12723,-3703,-9596,-16093,-1069,-18735,-5129,-5015,-8130,-6740,1656,1283,2612,8947,10153,20567,-16818,-380,10039,-8004,-21442,12587
504,-11633,-2442,-9032,-15250,-1289,-17948,-5375,-6521,-8388,-7456,1266,-935,2137,7206,9667,19467,-16013,-702,9069,-8965,-21738,12587
505,-10468,-1001,-8503,-14265,-1456,-16838,-5616,-7979,-8704,-8081,644,-3205,1426,5208,8751,17851,-15054,-1163,7840,-9866,-22023,12587
506,-9305,507,-8030,-13226,-1448,-15542,-5820,-9267,-9020,-8567,-159,-5351,505,3074,7408,15781,-14027,-1655,6436,-10684,-22287,12587
507,-8212,1994,-7626,-12205,-1177,-14199,-5982,-10293,-9284,-8884,-1077,-7245,-585,917,5659,13324,-13008,-2063,4933,-11428,-22515,12587
508,-7244,3380,-7303,-11259,-616,-12930,-6123,-11014,-9455,-9022,-2041,-8835,-1797,-1176,3548,10544,-12053,-2290,3389,-12133,-22687,12587
509,-6436,4610,-7059,-10417,209,-11818,-6263,-11437,-9511,-8994,-2991,-10129,-3070,-3143,1158,7512,-11196,-2281,1844,-12844,-22787,5140
510,-5793,5651,-6878,-9682,1234,-10894,-6399,-11604,-9429,-8825,-3871,-11184,-4333,-4946,-1405,4308,-10445,-2016,334,-13600,-22806,5140
511,-5283,6500,-6724,-9032,2395,-10135,-6484,-11575,-9188,-8548,-4624,-12061,-5499,-6558,-3984,1035,-9780,-1502,-1101,-14417,-22751,5140
512,-4843,7185,-6545,-8432,3646,-9479,-6415,-11402,-8761,-8194,-5189,-12805,-6477,-7955,-6399,-2182,-9171,-768,-2406,-15279,-22645,5140
513,-4393,7751,-6280,-7845,4967,-8850,-6069,-11125,-8129,-7796,-5502,-13427,-7183,-9115,-8466,-5197,-8584,153,-3513,-16142,-22524,5140
514,-3862,8243,-5882,-7254,6351,-8195,-5336,-10764,-7298,-7383,-5516,-13904,-7560,-10012,-10027,-7867,-8003,1215,-4356,-16945,-22428,5140
515,-3213,8686,-5324,-6667,7789,-7506,-4158,-10329,-6310,-6989,-5216,-14190,-7590,-10625,-10986,-10067,-7435,2358,-4882,-17623,-22390,5140
516,-2461,9072,-4618,-6123,9247,-6828,-2560,-9828,-5246,-6642,-4631,-14239,-7298,-10934,-11322,-11707,-6914,3512,-5066,-18122,-22423,5140
517,-1666,9354,-3805,-5673,10666,-6240,-642,-9265,-4214,-6359,-3827,-14008,-6738,-10927,-11087,-12742,-6484,4605,-4917,-18400,-22524,5140
518,-922,9474,-2948,-5362,11972,-5820,1434,-8638,-3323,-6139,-2897,-13477,-5978,-10600,-10389,-13170,-6184,5577,-4468,-18437,-22673,0
519,-314,9381,-2119,-5207,13092,-5604,3489,-7940,-2657,-5956,-1924,-12638,-5083,-9960,-9366,-13029,-6028,6403,-3775,-18228,-22843,0
520,97,9071,-1383,-5186,13965,-5563,5358,-7155,-2255,-5767,-971,-11508,-4104,-9032,-8154,-12392,-5993,7095,-2904,-17786,-23005,0
521,301,8596,-786,-5243,14555,-5604,6915,-6271,-2111,-5528,-61,-10133,-3082,-7868,-6876,-11364,-6024,7702,-1925,-17143,-23139,0
522,332,8063,-364,-5301,14842,-5596,8085,-5291,-2182,-5209,811,-8591,-2056,-6548,-5629,-10080,-6053,8288,-916,-16355,-23231,0
523,253,7608,-131,-5288,14819,-5411,8841,-4241,-2417,-4812,1660,-6991,-1072,-5178,-4493,-8692,-6011,8898,48,-15490,-23275,0
524,131,7359,-91,-5159,14480,-4966,9196,-3177,-2773,-4373,2491,-5455,-189,-3874,-3536,-7362,-5858,9540,891,-14627,-23269,0
525,11,7399,-243,-4905,13825,-4247,9191,-2174,-3232,-3950,3286,-4100,530,-2742,-2808,-6227,-5588,10166,1547,-13835,-23213,0
526,-91,7742,-581,-4555,12860,-3305,8888,-1298,-3795,-3609,4007,-3002,1034,-1857,-2346,-5385,-5228,10679,1973,-13154,-23109,0
527,-195,8335,-1090,-4162,11611,-2240,8363,-592,-4474,-3400,4604,-2171,1293,-1240,-2158,-4862,-4832,10966,2152,-12583,-22965,0
528,-337,9078,-1748,-3792,10131,-1165,7695,-50,-5277,-3346,5038,-1543,1310,-857,-2217,-4613,-4459,10923,2101,-12073,-22794,0
529,-555,9852,-2522,-3502,8501,-183,6958,370,-6196,-3436,5290,-995,1117,-624,-2465,-4529,-4168,10494,1870,-11542,-22615,0
530,-878,10550,-3370,-3335,6819,628,6196,747,-7206,-3632,5370,-378,767,-425,-2813,-4458,-4003,9683,1528,-10894,-22448,0
531,-1313,11093,-4248,-3316,5180,1219,5420,1159,-8273,-3892,5303,431,313,-143,-3167,-4247,-3990,8557,1149,-10052,-22308,0
532,-1859,11434,-5111,-3450,3662,1564,4597,1651,-9364,-4177,5118,1491,-202,316,-3439,-3768,-4140,7225,801,-8974,-22198,0
533,-2504,11550,-5928,-3729,2306,1652,3660,2222,-10458,-4467,4828,2776,-750,1007,-3569,-2943,-4448,5811,536,-7670,-22106,0
534,-3239,11434,-6680,-4134,1122,1493,2536,2820,-11546,-4761,4425,4182,-1325,1935,-3530,-1753,-4895,4431,376,-6190,-22013,0
535,-4051,11093,-7360,-4632,95,1120,1175,3360,-12628,-5075,3883,5551,-1930,3060,-3327,-235,-5448,3173,323,-4613,-21893,0
536,-4923,10549,-7969,-5179,-795,596,-415,3745,-13696,-5427,3172,6721,-2571,4307,-2988,1532,-6057,2099,354,-3030,-21728,0
537,-5817,9848,-8509,-5720,-1555,12,-2154,3901,-14724,-5831,2279,7563,-3245,5579,-2555,3442,-6663,1252,437,-1526,-21515,0
538,-6673,9065,-8974,-6201,-2174,-531,-3894,3794,-15661,-6283,1218,8005,-3939,6773,-2070,5378,-7202,669,537,-173,-21266,0
539,-7413,8302,-9350,-6573,-2627,-937,-5452,3430,-16441,-6759,41,8037,-4623,7788,-1570,7224,-7621,387,623,960,-21009,0
540,-7951,7667,-9614,-6803,-2887,-1143,-6650,2853,-16993,-7219,-1171,7694,-5260,8540,-1087,8869,-7881,439,676,1812,-20777,0
541,-8216,7255,-9744,-6889,-2941,-1133,-7363,2121,-17266,-7615,-2323,7027,-5811,8962,-655,10220,-7975,843,687,2326,-20597,0
542,-8174,7117,-9729,-6851,-2802,-934,-7552,1285,-17245,-7909,-3327,6089,-6244,9008,-308,11197,-7923,1574,656,2456,-20482,0
543,-7839,7253,-9576,-6732,-2511,-602,-7265,379,-16959,-8080,-4117,4911,-6547,8656,-91,11743,-7768,2558,580,2181,-20427,0
544,-7275,7605,-9312,-6583,-2126,-198,-6622,-586,-16477,-8139,-4662,3513,-6735,7905,-51,11815,-7564,3666,454,1515,-20410,0
545,-6578,8077,-8979,-6449,-1711,228,-5789,-1610,-15893,-8125,-4960,1915,-6840,6773,-241,11391,-7363,4736,259,514,-20400,0
546,-5857,8561,-8623,-6359,-1320,647,-4925,-2695,-15304,-8099,-5039,147,-6920,5296,-697,10471,-7203,5607,-30,-736,-20361,0
547,-5212,8957,-8287,-6326,-989,1038,-4172,-3832,-14795,-8127,-4941,-1738,-7025,3525,-1445,9065,-7105,6154,-440,-2137,-20263,0
548,-4716,9195,-7994,-6348,-729,1373,-3628,-4998,-14422,-8270,-4719,-3667,-7213,1526,-2484,7206,-7077,6321,-995,-3600,-20079,0
549,-4409,9231,-7756,-6419,-535,1601,-3349,-6157,-14210,-8565,-4428,-5560,-7521,-625,-3789,4944,-7117,6128,-1706,-5065,-19791,0
550,-4310,9044,-7565,-6542,-388,1644,-3352,-7272,-14154,-9023,-4123,-7342,-7960,-2843,-5308,2356,-7228,5657,-2566,-6507,-19390,0
551,-4417,8625,-7413,-6729,-267,1410,-3612,-8313,-14217,-9627,-3853,-8958,-8512,-5041,-6962,-462,-7421,5026,-3545,-7931,-18876,0
552,-4721,7965,-7288,-7001,-148,820,-4062,-9261,-14339,-10338,-3651,-10369,-9118,-7131,-8648,-3385,-7708,4357,-4587,-9362,-18264,0
553,-5201,7068,-7183,-7374,-17,-159,-4593,-10110,-14434,-11101,-3524,-11553,-9681,-9027,-10240,-6269,-8096,3754,-5610,-10825,-17580,0
554,-5818,5958,-7091,-7846,141,-1497,-5050,-10854,-14397,-11849,-3442,-12500,-10076,-10654,-11603,-8960,-8577,3290,-6514,-12335,-16868,0
555,-6510,4693,-6998,-8388,333,-3089,-5261,-11488,-14114,-12509,-3343,-13205,-10166,-11949,-12604,-11310,-9115,3016,-7192,-13885,-16185,0
556,-7190,3373,-6888,-8943,570,-4776,-5065,-12006,-13491,-13016,-3148,-13677,-9840,-12881,-13137,-13199,-9651,2955,-7545,-15451,-15587,0
557,-7763,2119,-6738,-9435,856,-6374,-4361,-12406,-12480,-13321,-2784,-13950,-9049,-13447,-13148,-14555,-10115,3106,-7516,-16987,-15126,0
558,-8149,1054,-6535,-9794,1193,-7710,-3150,-12701,-11114,-13415,-2216,-14091,-7838,-13692,-12658,-15368,-10442,3431,-7112,-18435,-14840,0
559,-8305,268,-6285,-9969,1568,-8657,-1552,-12928,-9515,-13329,-1474,-14195,-6359,-13697,-11765,-15695,-10592,3849,-6416,-19725,-14741,0
560,-8248,-205,-6019,-9944,1959,-9153,204,-13138,-7887,-13141,-651,-14368,-4846,-13578,-10636,-15646,-10562,4238,-5585,-20788,-14825,0
561,-8045,-393,-5793,-9740,2334,-9202,1825,-13386,-6478,-12948,107,-14700,-3566,-13447,-9472,-15374,-10381,4461,-4822,-21560,-15066,0
562,-7797,-363,-5670,-9403,2659,-8866,3019,-13698,-5513,-12845,643,-15219,-2754,-13393,-8475,-15020,-10100,4404,-4335,-21992,-15426,0
563,-7602,-189,-5704,-8987,2913,-8239,3569,-14062,-5142,-12888,833,-15887,-2549,-13452,-7798,-14706,-9770,4019,-4283,-22064,-15861,0
564,-7518,72,-5913,-8539,3100,-7429,3375,-14410,-5391,-13071,612,-16585,-2960,-13601,-7524,-14501,-9427,3353,-4743,-21786,-16323,0
565,-7547,410,-6271,-8086,3251,-6532,2471,-14640,-6159,-13329,-1,-17158,-3867,-13766,-7655,-14420,-9080,2544,-5687,-21199,-16771,0
566,-7636,853,-6711,-7634,3422,-5624,1010,-14642,-7243,-13553,-917,-17449,-5060,-13848,-8124,-14432,-8717,1785,-6991,-20372,-17173,0
567,-7696,1443,-7139,-7175,3677,-4754,-786,-14333,-8393,-13622,-2002,-17357,-6297,-13752,-8822,-14478,-8312,1268,-8468,-19386,-17511,0
568,-7635,2209,-7455,-6694,4073,-3945,-2674,-13687,-9372,-13440,-3113,-16858,-7364,-13416,-9625,-14491,-7839,1125,-9907,-18322,-17788,0
569,-7385,3150,-7578,-6176,4638,-3197,-4430,-12738,-10003,-12956,-4124,-16014,-8119,-12820,-10418,-14414,-7281,1392,-11113,-17247,-18030,0
570,-6921,4217,-7457,-5608,5365,-2497,-5882,-11569,-10191,-12170,-4949,-14939,-8497,-11982,-11110,-14203,-6636,2011,-11937,-16203,-18276,0
571,-6261,5329,-7077,-4988,6203,-1820,-6913,-10283,-9926,-11127,-5547,-13763,-8500,-10946,-11634,-13829,-5913,2852,-12289,-15201,-18571,0
572,-5459,6390,-6464,-4319,7072,-1143,-7469,-8974,-9268,-9902,-5913,-12582,-8188,-9759,-11949,-13275,-5139,3759,-12143,-14226,-18951,0
573,-4590,7311,-5673,-3621,7866,-455,-7559,-7707,-8322,-8583,-6075,-11442,-7647,-8463,-12033,-12530,-4348,4587,-11533,-13240,-19430,0
574,-3743,8026,-4788,-2929,8471,236,-7240,-6515,-7227,-7262,-6084,-10329,-6984,-7089,-11884,-11590,-3594,5231,-10544,-12198,-19993,0
575,-3004,8503,-3909,-2299,8783,901,-6622,-5403,-6136,-6028,-6009,-9196,-6308,-5663,-11519,-10461,-2937,5626,-9298,-11061,-20599,0
576,-2451,8741,-3146,-1795,8720,1488,-5845,-4363,-5202,-4959,-5929,-7982,-5731,-4206,-10977,-9157,-2444,5744,-7937,-9803,-21195,0
577,-2141,8770,-2599,-1480,8241,1943,-5047,-3383,-4556,-4111,-5919,-6639,-5341,-2739,-10307,-7702,-2168,5586,-6597,-8420,-21730,0
578,-2098,8649,-2340,-1388,7356,2226,-4340,-2448,-4281,-3506,-6030,-5139,-5186,-1273,-9569,-6122,-2134,5176,-5383,-6927,-22170,0
579,-2309,8451,-2402,-1518,6134,2330,-3776,-1540,-4394,-3127,-6283,-3478,-5253,187,-8812,-4440,-2328,4558,-4347,-5354,-22507,0
580,-2719,8257,-2763,-1823,4695,2285,-3347,-636,-4839,-2914,-6651,-1668,-5471,1648,-8078,-2678,-2689,3796,-3485,-3741,-22754,0
581,-3245,8136,-3352,-2222,3191,2157,-2997,286,-5502,-2783,-7073,256,-5726,3118,-7391,-856,-3127,2971,-2751,-2127,-22937,0
582,-3792,8132,-4063,-2615,1783,2027,-2644,1239,-6241,-2650,-7468,2244,-5901,4595,-6766,986,-3537,2167,-2078,-549,-23079,0
583,-4271,8254,-4773,-2909,613,1970,-2230,2215,-6925,-2451,-7760,4205,-5917,6054,-6213,2801,-3824,1458,-1414,955,-23196,0
584,-4615,8480,-5369,-3030,-223,2037,-1736,3183,-7463,-2157,-7898,6029,-5758,7446,-5740,4515,-3919,897,-737,2355,-23289,0
585,-4785,8771,-5760,-2934,-685,2249,-1191,4087,-7817,-1776,-7869,7587,-5473,8704,-5352,6049,-3784,509,-55,3621,-23354,0
586,-4763,9088,-5891,-2606,-795,2592,-661,4869,-7991,-1339,-7695,8760,-5152,9762,-5044,7332,-3415,300,601,4722,-23385,0
587,-4551,9404,-5743,-2061,-625,3031,-213,5478,-8007,-884,-7415,9464,-4881,10576,-4793,8321,-2831,255,1206,5631,-23384,0
588,-4166,9713,-5335,-1334,-284,3519,106,5878,-7886,-441,-7070,9671,-4706,11132,-4557,9010,-2074,352,1758,6318,-23360,0
589,-3638,10016,-4716,-486,99,4001,297,6057,-7628,-30,-6686,9408,-4615,11449,-4281,9432,-1204,555,2283,6757,-23317,0
590,-3016,10311,-3961,400,393,4422,406,6010,-7223,334,-6268,8744,-4542,11563,-3911,9643,-297,822,2830,6921,-23254,0
591,-2365,10582,-3163,1226,485,4736,510,5741,-6664,633,-5805,7769,-4401,11511,-3413,9703,553,1102,3452,6796,-23150,0
592,-1761,10799,-2423,1890,298,4911,686,5247,-5967,843,-5275,6564,-4122,11315,-2784,9651,1256,1330,4188,6372,-22971,0
593,-1279,10924,-1833,2310,-202,4939,993,4526,-5180,937,-4663,5185,-3674,10974,-2061,9494,1732,1454,5050,5658,-22678,0
594,-975,10930,-1466,2444,-992,4845,1447,3585,-4380,893,-3957,3663,-3075,10471,-1309,9202,1931,1439,6017,4677,-22235,0
595,-879,10800,-1361,2296,-2002,4675,2029,2449,-3649,705,-3160,2006,-2381,9788,-607,8721,1850,1278,7042,3467,-21618,0
596,-991,10539,-1518,1919,-3126,4491,2682,1159,-3056,385,-2283,220,-1657,8915,-30,7983,1524,1001,8053,2074,-20809,0
597,-1286,10163,-1903,1395,-4243,4344,3340,-227,-2636,-47,-1344,-1683,-958,7859,371,6923,1023,668,8972,549,-19780,0
598,-1727,9692,-2460,808,-5247,4260,3942,-1650,-2388,-569,-371,-3674,-315,6641,575,5497,422,348,9702,-1052,-18485,0
599,-2268,9145,-3119,228,-6055,4234,4438,-3058,-2279,-1179,599,-5697,257,5291,588,3689,-210,100,10153,-2668,-16840,0
600,-2868,8544,-3811,-309,-6622,4229,4797,-4415,-2270,-1887,1515,-7685,754,3838,432,1514,-823,-39,10246,-4220,-14740,0
601,-3484,7919,-4475,-792,-6938,4194,4994,-5697,-2326,-2712,2317,-9560,1158,2304,135,-982,-1391,-78,9926,-5614,-12072,0
602,-4074,7306,-5063,-1231,-7016,4084,5009,-6888,-2432,-3659,2937,-11244,1435,705,-283,-3723,-1901,-66,9181,-6742,-8762,0
603,-4597,6748,-5536,-1632,-6882,3875,4823,-7970,-2589,-4707,3310,-12672,1535,-940,-811,-6611,-2345,-74,8050,-7496,-4803,0
604,-5017,6280,-5866,-1998,-6566,3569,4421,-8921,-2809,-5797,3388,-13800,1406,-2604,-1452,-9534,-2715,-183,6624,-7793,-288,0
605,-5315,5918,-6036,-2317,-6096,3187,3805,-9721,-3098,-6841,3147,-14618,1016,-4249,-2214,-12373,-3003,-462,5030,-7596,4589,0
606,-5484,5655,-6046,-2578,-5501,2762,2997,-10354,-3450,-7749,2593,-15144,358,-5829,-3100,-15013,-3208,-943,3410,-6933,9550,0
607,-5541,5461,-5907,-2779,-4807,2329,2046,-10823,-3841,-8448,1763,-15431,-540,-7291,-4107,-17354,-3343,-1611,1891,-5895,14267,0
608,-5512,5302,-5649,-2931,-4046,1921,1018,-11148,-4236,-8906,720,-15548,-1621,-8586,-5216,-19318,-3436,-2405,573,-4632,18402,0
609,-5425,5161,-5315,-3057,-3247,1566,-14,-11358,-4589,-9131,-455,-15568,-2815,-9674,-6394,-20854,-3524,-3227,-492,-3325,21640,0
610,-5298,5049,-4953,-3181,-2436,1298,-988,-11477,-4859,-9161,-1680,-15548,-4047,-10517,-7594,-21938,-3642,-3956,-1287,-2152,23716,0
611,-5135,5014,-4610,-3317,-1634,1153,-1857,-11507,-5010,-9043,-2875,-15512,-5248,-11080,-8763,-22569,-3804,-4475,-1826,-1265,24435,0
612,-4926,5122,-4326,-3457,-851,1163,-2591,-11424,-5016,-8806,-3981,-15445,-6360,-11326,-9844,-22760,-3999,-4692,-2138,-762,23681,0
613,-4660,5438,-4122,-3572,-96,1348,-3179,-11178,-4864,-8462,-4961,-15293,-7334,-11215,-10783,-22532,-4191,-4559,-2259,-672,21434,0
614,-4334,5990,-4008,-3631,620,1696,-3625,-10713,-4561,-8003,-5810,-14974,-8141,-10711,-11537,-21909,-4336,-4085,-2223,-962,17785,0
615,-3970,6753,-3981,-3615,1272,2160,-3950,-9985,-4134,-7428,-6546,-14403,-8760,-9801,-12077,-20918,-4400,-3337,-2072,-1537,12947,0
616,-3620,7633,-4033,-3535,1818,2654,-4188,-8986,-3640,-6754,-7210,-13509,-9198,-8504,-12398,-19595,-4382,-2429,-1852,-2266,7254,0
